COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"65000","新北市","65000010","板橋區",237657,551502,266292,285210,"114Y06M"
"65000","新北市","65000020","三重區",171571,383094,186768,196326,"114Y06M"
"65000","新北市","65000030","中和區",182037,404848,194327,210521,"114Y06M"
"65000","新北市","65000040","永和區",95744,212634,100104,112530,"114Y06M"
"65000","新北市","65000050","新莊區",176719,422200,204608,217592,"114Y06M"
"65000","新北市","65000060","新店區",143049,306977,146357,160620,"114Y06M"
"65000","新北市","65000070","樹林區",71691,177959,88204,89755,"114Y06M"
"65000","新北市","65000080","鶯歌區",37004,89723,44757,44966,"114Y06M"
"65000","新北市","65000090","三峽區",48784,115384,57330,58054,"114Y06M"
"65000","新北市","65000100","淡水區",104455,205914,97553,108361,"114Y06M"
"65000","新北市","65000110","汐止區",102015,212650,102982,109668,"114Y06M"
"65000","新北市","65000120","瑞芳區",16317,35947,18143,17804,"114Y06M"
"65000","新北市","65000130","土城區",100397,241466,117777,123689,"114Y06M"
"65000","新北市","65000140","蘆洲區",78664,197125,96208,100917,"114Y06M"
"65000","新北市","65000150","五股區",40726,94305,46862,47443,"114Y06M"
"65000","新北市","65000160","泰山區",32164,78035,38286,39749,"114Y06M"
"65000","新北市","65000170","林口區",60372,137830,66656,71174,"114Y06M"
"65000","新北市","65000180","深坑區",10676,23751,11784,11967,"114Y06M"
"65000","新北市","65000190","石碇區",3331,6935,3793,3142,"114Y06M"
"65000","新北市","65000200","坪林區",2561,6223,3339,2884,"114Y06M"
"65000","新北市","65000210","三芝區",10713,22160,11391,10769,"114Y06M"
"65000","新北市","65000220","石門區",4265,10082,5270,4812,"114Y06M"
"65000","新北市","65000230","八里區",19840,43370,21454,21916,"114Y06M"
"65000","新北市","65000240","平溪區",2122,3961,2229,1732,"114Y06M"
"65000","新北市","65000250","雙溪區",3562,7504,4086,3418,"114Y06M"
"65000","新北市","65000260","貢寮區",4273,10556,5355,5201,"114Y06M"
"65000","新北市","65000270","金山區",7667,19853,9801,10052,"114Y06M"
"65000","新北市","65000280","萬里區",7952,20391,10118,10273,"114Y06M"
"65000","新北市","65000290","烏來區",1912,6147,2997,3150,"114Y06M"
"63000","臺北市","63000010","松山區",81290,188770,87704,101066,"114Y06M"
"63000","臺北市","63000020","信義區",90776,202533,95028,107505,"114Y06M"
"63000","臺北市","63000030","大安區",120972,284392,131224,153168,"114Y06M"
"63000","臺北市","63000040","中山區",103554,213102,97455,115647,"114Y06M"
"63000","臺北市","63000050","中正區",66068,145504,68599,76905,"114Y06M"
"63000","臺北市","63000060","大同區",54497,117442,56077,61365,"114Y06M"
"63000","臺北市","63000070","萬華區",81055,169472,81761,87711,"114Y06M"
"63000","臺北市","63000080","文山區",110649,254935,120707,134228,"114Y06M"
"63000","臺北市","63000090","南港區",49059,111184,53559,57625,"114Y06M"
"63000","臺北市","63000100","內湖區",112367,269437,127151,142286,"114Y06M"
"63000","臺北市","63000110","士林區",109590,259974,124202,135772,"114Y06M"
"63000","臺北市","63000120","北投區",101078,237097,112650,124447,"114Y06M"
"68000","桃園市","68000010","桃園區",207114,477606,229183,248423,"114Y06M"
"68000","桃園市","68000020","中壢區",188599,438264,213241,225023,"114Y06M"
"68000","桃園市","68000030","大溪區",37516,94182,47680,46502,"114Y06M"
"68000","桃園市","68000040","楊梅區",73525,182517,90942,91575,"114Y06M"
"68000","桃園市","68000050","蘆竹區",69905,170702,83945,86757,"114Y06M"
"68000","桃園市","68000060","大園區",36600,88719,44841,43878,"114Y06M"
"68000","桃園市","68000070","龜山區",85380,186477,91563,94914,"114Y06M"
"68000","桃園市","68000080","八德區",87306,215676,106415,109261,"114Y06M"
"68000","桃園市","68000090","龍潭區",50776,127545,63187,64358,"114Y06M"
"68000","桃園市","68000100","平鎮區",89910,228721,112702,116019,"114Y06M"
"68000","桃園市","68000110","新屋區",19811,49647,26206,23441,"114Y06M"
"68000","桃園市","68000120","觀音區",31051,76578,39452,37126,"114Y06M"
"68000","桃園市","68000130","復興區",4102,13170,6869,6301,"114Y06M"
"66000","臺中市","66000010","中區",8832,17982,8787,9195,"114Y06M"
"66000","臺中市","66000020","東區",33524,77651,38038,39613,"114Y06M"
"66000","臺中市","66000030","南區",57388,128217,60845,67372,"114Y06M"
"66000","臺中市","66000040","西區",51396,113790,53302,60488,"114Y06M"
"66000","臺中市","66000050","北區",66911,143500,67809,75691,"114Y06M"
"66000","臺中市","66000060","西屯區",104562,238063,112864,125199,"114Y06M"
"66000","臺中市","66000070","南屯區",79797,186035,87962,98073,"114Y06M"
"66000","臺中市","66000080","北屯區",136263,316142,149463,166679,"114Y06M"
"66000","臺中市","66000090","豐原區",60286,162206,79450,82756,"114Y06M"
"66000","臺中市","66000100","東勢區",18533,46799,23763,23036,"114Y06M"
"66000","臺中市","66000110","大甲區",26627,73497,36728,36769,"114Y06M"
"66000","臺中市","66000120","清水區",35389,90747,46183,44564,"114Y06M"
"66000","臺中市","66000130","沙鹿區",38486,101003,50474,50529,"114Y06M"
"66000","臺中市","66000140","梧棲區",25039,64406,32063,32343,"114Y06M"
"66000","臺中市","66000150","后里區",18621,52895,26557,26338,"114Y06M"
"66000","臺中市","66000160","神岡區",22352,63649,32431,31218,"114Y06M"
"66000","臺中市","66000170","潭子區",42084,109298,53716,55582,"114Y06M"
"66000","臺中市","66000180","大雅區",33910,94895,47062,47833,"114Y06M"
"66000","臺中市","66000190","新社區",8441,22694,11736,10958,"114Y06M"
"66000","臺中市","66000200","石岡區",5110,13737,7071,6666,"114Y06M"
"66000","臺中市","66000210","外埔區",11173,30845,15715,15130,"114Y06M"
"66000","臺中市","66000220","大安區",6154,17603,9271,8332,"114Y06M"
"66000","臺中市","66000230","烏日區",33216,81986,40554,41432,"114Y06M"
"66000","臺中市","66000240","大肚區",20553,55472,28165,27307,"114Y06M"
"66000","臺中市","66000250","龍井區",29083,79091,39575,39516,"114Y06M"
"66000","臺中市","66000260","霧峰區",23003,62996,31935,31061,"114Y06M"
"66000","臺中市","66000270","太平區",78634,200653,98476,102177,"114Y06M"
"66000","臺中市","66000280","大里區",80154,211288,102781,108507,"114Y06M"
"66000","臺中市","66000290","和平區",4744,10501,5600,4901,"114Y06M"
"67000","臺南市","67000010","新營區",31854,74695,36538,38157,"114Y06M"
"67000","臺南市","67000020","鹽水區",10472,23843,12395,11448,"114Y06M"
"67000","臺南市","67000030","白河區",10814,25171,13121,12050,"114Y06M"
"67000","臺南市","67000040","柳營區",8400,19930,10376,9554,"114Y06M"
"67000","臺南市","67000050","後壁區",9061,21033,10835,10198,"114Y06M"
"67000","臺南市","67000060","東山區",8227,18634,9960,8674,"114Y06M"
"67000","臺南市","67000070","麻豆區",17742,43041,21774,21267,"114Y06M"
"67000","臺南市","67000080","下營區",9539,21884,11285,10599,"114Y06M"
"67000","臺南市","67000090","六甲區",8619,21027,10825,10202,"114Y06M"
"67000","臺南市","67000100","官田區",8710,20607,10515,10092,"114Y06M"
"67000","臺南市","67000110","大內區",3679,8511,4562,3949,"114Y06M"
"67000","臺南市","67000120","佳里區",23423,58421,28767,29654,"114Y06M"
"67000","臺南市","67000130","學甲區",10265,24488,12548,11940,"114Y06M"
"67000","臺南市","67000140","西港區",9603,24883,12549,12334,"114Y06M"
"67000","臺南市","67000150","七股區",8119,20649,10670,9979,"114Y06M"
"67000","臺南市","67000160","將軍區",7151,17807,9098,8709,"114Y06M"
"67000","臺南市","67000170","北門區",3943,9515,4791,4724,"114Y06M"
"67000","臺南市","67000180","新化區",16088,42025,21242,20783,"114Y06M"
"67000","臺南市","67000190","善化區",23075,53706,26949,26757,"114Y06M"
"67000","臺南市","67000200","新市區",15636,38245,19196,19049,"114Y06M"
"67000","臺南市","67000210","安定區",11782,29841,15352,14489,"114Y06M"
"67000","臺南市","67000220","山上區",2791,6865,3630,3235,"114Y06M"
"67000","臺南市","67000230","玉井區",5387,12757,6591,6166,"114Y06M"
"67000","臺南市","67000240","楠西區",3568,8471,4483,3988,"114Y06M"
"67000","臺南市","67000250","南化區",2833,7690,4135,3555,"114Y06M"
"67000","臺南市","67000260","左鎮區",1799,4091,2339,1752,"114Y06M"
"67000","臺南市","67000270","仁德區",32149,77659,38951,38708,"114Y06M"
"67000","臺南市","67000280","歸仁區",27162,70421,35385,35036,"114Y06M"
"67000","臺南市","67000290","關廟區",12568,33235,16963,16272,"114Y06M"
"67000","臺南市","67000300","龍崎區",1442,3265,1788,1477,"114Y06M"
"67000","臺南市","67000310","永康區",98101,236176,115298,120878,"114Y06M"
"67000","臺南市","67000320","東區",78741,181156,85845,95311,"114Y06M"
"67000","臺南市","67000330","南區",50365,119701,58610,61091,"114Y06M"
"67000","臺南市","67000340","北區",55441,125548,60515,65033,"114Y06M"
"67000","臺南市","67000350","安南區",77757,204377,102241,102136,"114Y06M"
"67000","臺南市","67000360","安平區",31971,71152,33259,37893,"114Y06M"
"67000","臺南市","67000370","中西區",34604,76411,36741,39670,"114Y06M"
"64000","高雄市","64000010","鹽埕區",11183,22066,10852,11214,"114Y06M"
"64000","高雄市","64000020","鼓山區",64825,141272,67108,74164,"114Y06M"
"64000","高雄市","64000030","左營區",88769,197842,93551,104291,"114Y06M"
"64000","高雄市","64000040","楠梓區",85661,195546,95115,100431,"114Y06M"
"64000","高雄市","64000050","三民區",148724,329041,156960,172081,"114Y06M"
"64000","高雄市","64000060","新興區",25018,49512,23483,26029,"114Y06M"
"64000","高雄市","64000070","前金區",15263,27636,12869,14767,"114Y06M"
"64000","高雄市","64000080","苓雅區",77278,162066,76685,85381,"114Y06M"
"64000","高雄市","64000090","前鎮區",82670,177856,86445,91411,"114Y06M"
"64000","高雄市","64000100","旗津區",10581,25117,12846,12271,"114Y06M"
